下戰書,-1
下手,-1
下挫,-1
下暴雨,-1
下殺,-1
下毒,-1
下毒手,-1
下氣怡聲,-1
下水,-1
下沈,-1
下流,-1
下游,-1
下滑,-1
下獄,-1
下第,-1
下等,-1
下策,-1
下腳貨,-1
下落不明,-1
下藥,-1
下賤,-1
下跌,-1
下車作威,-1
下重手,-1
下錯藥,-1
下降,-1
下陵上替,-1
下陷,-1
下風,-1
不一定,-1
不一定最好,-1
不一樣,-1
不一致,-1
不三不四,-1
不下,-1
不中,-1
不主張,-1
不乾不淨,-1
不了,-1
不了不當,-1
不了了之,-1
不了解,-1
不予,-1
不予理會,-1
不予置評,-1
不予著墨,-1
不交代,-1
不人道,-1
不仁,-1
不仁不義,-1
不今不古,-1
不介入,-1
不代表,-1
不以,-1
不以為恥,-1
不以為意,-1
不以為然,-1
不伏燒埋,-1
不休,-1
不似,-1
不住,-1
不佞,-1
不佳,-1
不依,-1
不依法,-1
不便,-1
不便之處,-1
不便透露,-1
不保,-1
不保留,-1
不保證,-1
不保障,-1
不信,-1
不信任,-1
不信任案,-1
不信實,-1
不修邊幅,-1
不倫不類,-1
不值,-1
不值一哂,-1
不值一提,-1
不值一文,-1
不值一笑,-1
不值一評,-1
不值一錢,-1
不值一顧,-1
不值得,-1
不值錢,-1
不值錢的東西,-1
不停叫罵,-1
不健全,-1
不健康,-1
不僅,-1
不僅僅是,-1
不僅疏忽,-1
不像,-1
不像真實,-1
不像話,-1
不僧不俗,-1
不允許,-1
不充分,-1
不充足,-1
不光明正大,-1
不克,-1
不入時宜,-1
不全,-1
不全然,-1
不全然相同,-1
不兩立,-1
不公,-1
不公平,-1
不公平歧視待遇,-1
不公正,-1
不公正判決,-1
不共戴天,-1
不具,-1
不具備,-1
不具有,-1
不再,-1
不再是,-1
不再適用,-1
不冷不熱,-1
不准,-1
不出,-1
不出場,-1
不分皁白,-1
不分皂白,-1
不分青白,-1
不分青紅皂白,-1
不切,-1
不切實際,-1
不利,-1
不利於,-1
不到,-1
不到案,-1
不到黃河心不死,-1
不力,-1
不加,-1
不加入,-1
不加思考,-1
不劣方頭,-1
不務,-1
不務正業,-1
不勝任,-1
不勝其任,-1
不勝其煩,-1
不勝其苦,-1
不勝衣,-1
不勞,-1
不勞而獲,-1
不協調,-1
不厚道,-1
不去,-1
不去投票,-1
不參加,-1
不及,-1
不及格,-1
不友善,-1
不友好,-1
不受尊重,-1
不受感動,-1
不受歡迎,-1
不受重視,-1
不受鼓勵,-1
不只是,-1
不叫做,-1
不可一世,-1
不可以,-1
不可企及,-1
不可信,-1
不可信的事物,-1
不可信賴,-1
不可分割,-1
不可勝言,-1
不可原諒,-1
不可取,-1
不可告人,-1
不可愛,-1
不可抵抗,-1
不可捉摸,-1
不可收拾,-1
不可救藥,-1
不可教訓,-1
不可淪為,-1
不可測,-1
不可理喻,-1
不可究詰,-1
不可終日,-1
不可能,-1
不可能之事,-1
不可能任務,-1
不可能成功,-1
不可行,-1
不可諱言,-1
不可謂,-1
不可輓回,-1
不可逾越,-1
不可避免,-1
不可避免地,-1
不可靠,-1
不可預測,-1
不可預知,-1
不合,-1
不合乎,-1
不合作,-1
不合宜,-1
不合情理,-1
不合情理之事,-1
不合意,-1
不合時宜,-1
不合格,-1
不合標準,-1
不合法,-1
不合理,-1
不合理待遇,-1
不合群,-1
不合群的動物,-1
不合規定,-1
不合規格之物,-1
不合適,-1
不合適地代表,-1
不合邏輯,-1
不吉利,-1
不同之處,-1
不同意,-1
不同戴天,-1
不名一文,-1
不名一錢,-1
不名譽,-1
不告而別,-1
不周,-1
不周到,-1
不和,-1
不和諧,-1
不咸不淡,-1
不問,-1
不問三七二十一,-1
不問不界,-1
不問是非情由,-1
不問皁白,-1
不問青紅皂白,-1
不啻,-1
不啻變天,-1
不善,-1
不喜歡,-1
不單單是,-1
不嚴密,-1
不因人熱,-1
不在,-1
不在乎,-1
不在其位不謀其政,-1
不在場,-1
不在意,-1
不均,-1
不均勻,-1
不均等,-1
不坦率,-1
不堅固,-1
不堅定,-1
不堪,-1
不堪一擊,-1
不堪入目,-1
不堪入耳,-1
不堪其憂,-1
不堪回首,-1
不堪撿視,-1
不堪設想,-1
不堪負荷,-1
不堪造就,-1
不堪過往,-1
不報,-1
不多,-1
不多見,-1
不夠,-1
不夠公平,-1
不夠好,-1
不夠格,-1
不夠深廣,-1
